Complexity,Loss,Equation
1,4.0899982,"2.1000767"
5,1.3994138,"x0 / (x0 + -5508.608)"
7,0.34335488,"(-3423.1616 / (x0 + -6735.59)) - -1.39346"
9,0.20375204,"(x0 / ((x0 + -6454.68) / -0.18495423)) + 1.6489146"
11,0.16887473,"2.4456542 - (x0 / (((-2344.0962 / x0) + 0.36324617) / 9.538244e-6))"
13,0.16596985,"((-0.670393 - x0) / (((-2344.0962 / x0) + 0.36324617) / 9.092462e-6)) + 2.3265672"
15,0.13990083,"2.9153214 - ((x0 / (((-2344.0962 / x0) + 0.3598112) / 1.1935567e-5)) - (-2809.4375 / x0))"
17,0.13135073,"2.9511676 - ((x0 / (((-2344.0962 / x0) + 0.3598112) / 1.2282039e-5)) - (-2344.0962 / (x0 / 1.5774381)))"
19,0.13020602,"2.9511676 - ((x0 / (((-2344.0962 / (x0 + 4.470639)) + 0.3598112) / 1.2282039e-5)) - (-2344.0962 / (x0 / 1.5774381)))"
21,0.13018987,"2.9153214 - ((x0 / (((-2344.0962 / (x0 + 4.103586)) + 0.3597876) / 1.2319767e-5)) - ((-2344.0962 / (x0 / 1.5774381)) - -0.035846334))"
